file,class
./italy_training_processed/57/2016-01-25 14.17.54.mov_3382_0000_0812_0516_0059_0060.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3340_0000_0758_0556_0035_0036.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3357_0000_0776_0531_0041_0043.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3375_0000_0433_0533_0030_0031.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3403_0000_0210_0509_0053_0055.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3399_0000_0825_0507_0079_0078.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3401_0000_0231_0513_0049_0051.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3367_0000_0792_0533_0047_0049.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3408_0000_0840_0496_0091_0090.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3422_0000_0935_0436_0138_0135.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3349_0000_0765_0543_0039_0041.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3405_0000_0177_0508_0055_0058.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3360_0000_0776_0531_0041_0043.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3389_0000_0351_0530_0040_0043.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3347_0000_0764_0549_0037_0038.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3382_0000_0393_0530_0035_0036.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3396_0000_0289_0517_0049_0051.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3393_0000_0319_0524_0042_0045.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3384_0000_0384_0536_0035_0036.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3366_0000_0457_0549_0030_0031.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3386_0000_0368_0536_0038_0040.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3380_0000_0409_0531_0034_0034.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3414_0000_0876_0477_0106_0104.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3334_0000_0757_0559_0034_0033.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3395_0000_0300_0524_0045_0049.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3375_0000_0805_0523_0051_0052.png,57
./italy_training_processed/57/2016-01-25 14.17.54.mov_3391_0000_0337_0534_0040_0043.png,57
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2838_0000_0700_0404_0079_0077.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2834_0000_0657_0412_0061_0058.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2840_0000_0739_0396_0092_0091.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2832_0000_0640_0412_0052_0050.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2824_0000_0582_0418_0041_0040.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2826_0000_0595_0419_0043_0042.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2836_0000_0675_0406_0068_0067.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2844_0000_0861_0374_0152_0155.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2845_0000_0929_0367_0181_0181.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2830_0000_0622_0417_0049_0047.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2841_0000_0754_0398_0101_0099.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2842_0000_0785_0390_0116_0114.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2828_0000_0610_0415_0049_0047.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2843_0000_0816_0387_0132_0132.png,32
./italy_training_processed/32/2016-01-04 13-46-03.101.wmv_2846_0000_1005_0349_0240_0231.png,32
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10056_0000_0811_0204_0085_0093.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1639_0000_0508_0279_0053_0053.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1635_0000_0501_0290_0044_0042.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10065_0000_0932_0177_0138_0139.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1659_0000_0573_0257_0074_0072.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10050_0000_0766_0225_0068_0075.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1671_0000_0661_0209_0112_0112.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1683_0000_0964_0035_0275_0276.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10026_0000_0650_0262_0037_0038.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1667_0000_0629_0229_0096_0094.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10038_0000_0718_0245_0054_0057.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1627_0000_0487_0291_0038_0037.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1643_0000_0520_0276_0053_0053.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10035_0000_0704_0246_0050_0051.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1663_0000_0594_0245_0082_0080.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1651_0000_0541_0262_0064_0062.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1679_0000_0807_0130_0178_0179.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10044_0000_0744_0230_0061_0066.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10062_0000_0873_0183_0119_0121.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1647_0000_0526_0274_0058_0055.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1631_0000_0494_0292_0039_0038.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1675_0000_0719_0179_0136_0136.png,35
./italy_training_processed/35/2015-11-26 12-36-40.221.wmv_1655_0000_0559_0261_0073_0071.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10059_0000_0841_0189_0104_0106.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10029_0000_0665_0255_0044_0045.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10047_0000_0758_0224_0062_0069.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10068_0000_1006_0146_0169_0170.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10032_0000_0682_0253_0044_0045.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10053_0000_0788_0220_0076_0085.png,35
./italy_training_processed/35/2015-11-30 14-54-11.067.wmv_10041_0000_0729_0239_0056_0059.png,35
./italy_training_processed/56/2016-01-25 13.36.12.mov_4526_0000_0709_0332_0068_0071.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4589_0000_0854_0164_0104_0091.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2647_0000_0870_0759_0098_0100.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2650_0000_0929_0751_0105_0108.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2646_0000_0849_0765_0089_0087.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4577_0000_1098_0115_0140_0136.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4523_0000_1253_0230_0152_0140.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4543_0000_0751_0288_0068_0071.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4520_0000_1232_0231_0152_0140.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4522_0000_1244_0229_0152_0140.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4515_0000_1211_0249_0094_0103.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2638_0000_0773_0761_0077_0071.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4588_0000_0812_0156_0104_0091.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4599_0000_0984_0215_0122_0114.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2641_0000_0796_0755_0084_0082.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4600_0000_1006_0219_0125_0117.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2644_0000_0824_0763_0089_0087.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4518_0000_1229_0254_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4581_0000_1248_0083_0140_0136.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4586_0000_0766_0153_0104_0091.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2648_0000_0894_0747_0103_0106.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4516_0000_1220_0252_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4537_0000_0751_0299_0068_0071.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4508_0000_1191_0235_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4507_0000_1183_0232_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4541_0000_0753_0292_0068_0071.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2653_0000_0984_0745_0118_0123.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4530_0000_0726_0317_0068_0071.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2656_0000_1061_0732_0130_0137.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4610_0000_1292_0173_0159_0150.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2640_0000_0779_0757_0077_0071.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4593_0000_0873_0196_0117_0108.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4611_0000_1326_0163_0161_0153.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4548_0000_0736_0271_0087_0090.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4513_0000_1204_0247_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4602_0000_1042_0210_0127_0119.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4570_0000_0940_0165_0113_0111.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4595_0000_0895_0207_0117_0108.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2643_0000_0820_0761_0084_0082.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4521_0000_1235_0230_0152_0140.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4607_0000_1173_0189_0143_0135.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4563_0000_0816_0216_0113_0111.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4608_0000_1224_0188_0144_0135.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4514_0000_1206_0248_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4591_0000_0857_0192_0104_0091.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2649_0000_0908_0747_0105_0108.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4566_0000_0870_0180_0113_0111.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4604_0000_1106_0208_0132_0124.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4597_0000_0918_0213_0120_0111.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2639_0000_0779_0757_0077_0071.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4510_0000_1197_0237_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4534_0000_0741_0308_0068_0071.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4517_0000_1227_0253_0094_0103.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4511_0000_1202_0247_0094_0103.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2651_0000_0948_0747_0105_0108.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4524_0000_1257_0231_0152_0140.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4552_0000_0751_0263_0087_0090.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4555_0000_0761_0256_0087_0090.png,56
./italy_training_processed/56/2016-01-25 14.17.54.mov_2657_0000_1098_0728_0141_0148.png,56
./italy_training_processed/56/2016-01-25 13.36.12.mov_4559_0000_0800_0241_0087_0090.png,56
./italy_training_processed/51/2016-01-25 13.36.12.mov_0241_0000_0186_0282_0137_0140.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1149_0000_0876_0297_0165_0165.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1115_0000_0781_0372_0078_0079.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1107_0000_0818_0370_0067_0068.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1153_0000_0988_0287_0180_0181.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1119_0000_0757_0373_0078_0079.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0227_0000_0385_0344_0097_0100.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1133_0000_0744_0353_0099_0101.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1127_0000_0743_0360_0099_0101.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1141_0000_0775_0328_0128_0129.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0239_0000_0208_0299_0126_0130.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0243_0000_0168_0287_0141_0144.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0237_0000_0247_0299_0113_0116.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0215_0000_0483_0405_0077_0079.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0249_0000_0025_0214_0169_0171.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1117_0000_0760_0375_0078_0079.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1125_0000_0743_0360_0099_0101.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1131_0000_0745_0356_0099_0101.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1123_0000_0757_0372_0078_0079.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1129_0000_0744_0357_0099_0101.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0235_0000_0274_0299_0113_0116.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1121_0000_0757_0373_0078_0079.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0247_0000_0087_0251_0158_0160.png,51
./italy_training_processed/51/2016-01-04 13-58-48.429.wmv_1104_0000_0840_0366_0067_0068.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0229_0000_0366_0334_0099_0102.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0225_0000_0396_0353_0094_0096.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0219_0000_0455_0383_0079_0081.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0233_0000_0319_0314_0102_0105.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0245_0000_0139_0270_0145_0148.png,51
./italy_training_processed/51/2016-01-25 13.36.12.mov_0221_0000_0430_0374_0087_0088.png,51
./italy_training_processed/58/2016-01-25 14.17.54.mov_4397_0000_0718_0400_0042_0046.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4442_0000_0129_0385_0058_0056.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4437_0000_0166_0377_0055_0053.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4445_0000_0094_0381_0061_0059.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4449_0000_0029_0378_0065_0063.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4395_0000_0720_0408_0042_0046.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4425_0000_0731_0375_0065_0062.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4443_0000_0111_0381_0061_0059.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4400_0000_0717_0399_0049_0050.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4438_0000_0164_0376_0056_0054.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4394_0000_0718_0407_0038_0042.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4447_0000_0070_0379_0065_0063.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4389_0000_0717_0401_0035_0042.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4444_0000_0103_0386_0061_0059.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4441_0000_0143_0377_0058_0056.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4399_0000_0722_0392_0049_0050.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4440_0000_0157_0378_0056_0054.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4427_0000_0731_0375_0067_0064.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4436_0000_0173_0381_0055_0053.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4446_0000_0089_0378_0061_0059.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4439_0000_0157_0376_0056_0054.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4435_0000_0765_0368_0072_0070.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4426_0000_0731_0375_0066_0063.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4448_0000_0055_0380_0065_0063.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4450_0000_0020_0379_0065_0063.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4433_0000_0755_0365_0072_0070.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4393_0000_0718_0407_0038_0042.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4423_0000_0727_0379_0063_0060.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4429_0000_0741_0368_0071_0068.png,58
./italy_training_processed/58/2016-01-25 14.17.54.mov_4431_0000_0740_0367_0072_0070.png,58
./italy_training_processed/34/2015-11-26 12-05-54.293.wmv_2796_0000_0607_0283_0038_0038.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1245_0000_0768_0181_0080_0086.png,34
./italy_training_processed/34/2015-11-30 14-54-11.067.wmv_9108_0000_0046_0159_0129_0131.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_2327_0000_0998_0218_0058_0059.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1267_0000_1070_0003_0207_0209.png,34
./italy_training_processed/34/2015-11-30 14-54-11.067.wmv_9106_0000_0201_0165_0119_0121.png,34
./italy_training_processed/34/2015-11-26 12-05-54.293.wmv_2787_0000_0611_0287_0033_0033.png,34
./italy_training_processed/34/2015-11-26 12-05-54.293.wmv_2372_0000_1073_0042_0142_0149.png,34
./italy_training_processed/34/2016-01-04 13-36-15.786.wmv_3263_0000_0830_0323_0032_0032.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_2325_0000_0177_0247_0058_0061.png,34
./italy_training_processed/34/2016-01-04 13-46-03.101.wmv_7000_0000_0722_0364_0051_0052.png,34
./italy_training_processed/34/2015-11-26 14-23-28.733.wmv_0954_0000_0744_0337_0035_0036.png,34
./italy_training_processed/34/2016-01-04 13-46-03.101.wmv_7004_0000_0738_0356_0056_0058.png,34
./italy_training_processed/34/2015-11-26 12-05-54.293.wmv_2837_0000_0835_0198_0078_0078.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1249_0000_0363_0220_0077_0080.png,34
./italy_training_processed/34/2015-11-26 12-05-54.293.wmv_2317_0000_0571_0280_0032_0031.png,34
./italy_training_processed/34/2016-01-04 13-46-03.101.wmv_6998_0000_0720_0373_0047_0049.png,34
./italy_training_processed/34/2015-11-27 13-08-13.624.wmv_1888_0000_0366_0242_0072_0069.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1255_0000_0318_0203_0090_0091.png,34
./italy_training_processed/34/2016-01-04 13-46-03.101.wmv_6996_0000_0713_0380_0046_0048.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1255_0000_0852_0134_0112_0116.png,34
./italy_training_processed/34/2015-11-26 12-05-54.293.wmv_4918_0000_0694_0233_0054_0051.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_2331_0000_1024_0225_0068_0065.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1264_0000_0213_0171_0115_0116.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1247_0000_0783_0169_0087_0093.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1252_0000_0346_0215_0081_0084.png,34
./italy_training_processed/34/2016-01-04 13-36-15.786.wmv_3277_0000_0949_0293_0048_0047.png,34
./italy_training_processed/34/2015-11-30 14-54-11.067.wmv_9090_0000_0851_0212_0071_0070.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_2321_0000_0957_0232_0053_0054.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_2329_0000_0145_0229_0060_0063.png,34
./italy_training_processed/34/2016-01-04 13-46-03.101.wmv_7012_0000_0813_0328_0094_0097.png,34
./italy_training_processed/34/2015-11-30 14-54-11.067.wmv_9084_0000_0977_0221_0055_0054.png,34
./italy_training_processed/34/2015-11-26 12-05-54.293.wmv_2335_0000_0651_0255_0054_0054.png,34
./italy_training_processed/34/2015-11-27 13-08-13.624.wmv_1882_0000_0549_0234_0059_0059.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_2319_0000_0221_0241_0051_0054.png,34
./italy_training_processed/34/2015-11-30 14-38-40.546.wmv_1273_0000_0006_0132_0156_0163.png,34
